id,area,assumption,value,classification,rationale,decided_by,status
A-019,Operations,Inventory costing,Weighted-average cost per available unit; cost of revenue = units sold x average cost,User-provided assumption,Absorption costing: unsold production goes to inventory instead of the P&L,Claude (delegated by user),Final
A-020,Scenarios,Scenario driver values,See Assumptions tab section A (9 drivers x Downside/Base/Upside) with rationale per row,User-provided assumption,Anchored to Microchip reported history (Assumptions section B),Claude (delegated by user),Final
A-021,Operations,Product demand differentials,MCU 0 pts / Analog & power -5 pts / FPGA +5 pts vs division demand growth,Simulated operational data,Creates realistic mix shift for the Phase 4 mix variance,Claude (delegated by user),Final
A-022,Operations,Seasonality,Monthly factors 0.96-1.08 (sum = 12.00); quarter-end pulls and a December dip,Simulated operational data,Typical semiconductor shipment pattern,Claude (delegated by user),Final
A-023,Opex,Division base-year opex,R&D $200m (20% of revenue); SG&A $100m (10%),Simulated operational data,Division excludes corporate overhead that sits in Microchip's company-wide ratios (23.0% / 14.3%),Claude (delegated by user),Final
A-024,Cash flow,Working-capital days,DSO 60 days on revenue; DPO 40 days on variable manufacturing cost; inventory from Ops_Model,User-provided assumption,Microchip DSO 55-69 days FY2022-FY2026,Claude (delegated by user),Final
A-025,Cash flow,Depreciation,30% of fixed manufacturing cost is depreciation; FY2027 capex depreciated straight-line over 60 months starting the month after spend (in cost of revenue),Simulated operational data,~7% of revenue vs Microchip ~5.5% (D&A less intangibles amortization) in FY2026,Claude (delegated by user),Final
A-026,P&L,Division financing and tax,No division-level interest; tax = scenario rate x pre-tax income each month (tax paid as expensed; loss months give a credit),User-provided assumption,Financing and tax payments are managed at corporate,Claude (delegated by user),Final
A-027,Budget,FY2027 budget definition,Budget = Base scenario computed from the Base column of Assumptions (locked; independent of the selector),User-provided assumption,A budget is set once and does not move with forecast scenarios,Claude (delegated by user),Final
A-028,Actuals,Simulated actual inputs Apr-Aug 2026,Demand vs budget +4% / -6% / +12%; ASP vs base year -2.0% / -0.5% / +2.0%; yield 92.5% / 93.5% / 82.0%; utilization 82% / 76% / 88%; variable cost +4.5% / +4.0% / +6.0%; fixed cost $9.6m / $5.1m / $4.6m per month (MCU / Analog / FPGA); R&D $18.0m and SG&A $8.4m per month; capex 2.6% of revenue; monthly demand noise 0.99-1.02,Simulated operational data,Designed to show a realistic mix of favorable and unfavorable variances incl. an FPGA yield problem,Claude (delegated by user),Final
A-029,Variance,Variance method,"Price = Ua x (ASPa - ASPb); volume = change in total units x budget average price; mix = change in mix x total Ua x ASPb; profit bridge uses budget gross profit per unit; material, yield, fixed spending and absorption/inventory computed from production data",User-provided assumption,Standard FP&A decomposition; volume and mix use units summed across product lines,Claude (delegated by user),Final
A-030,Capex project,Hypothetical proposal,"FPGA automated final-test platform: $24.0m equipment + $3.0m installation; +0.30m units/month test capacity; +3 pts FPGA yield; $1.5m/yr operating savings; $1.2m/yr maintenance; 6-year life, no salvage; max practical utilization 90%; FPGA ASP erosion 2%/yr after FY2027",Simulated operational data,Targets the FPGA yield and capacity constraint visible in the operating model and variance analysis,Claude (delegated by user),Final
A-031,Capex project,Discount rate and decision criteria,"Discount rate 9%; approve criteria per scenario: NPV > 0, IRR >= 11% hurdle, payback <= 4.0 years. Rule: reject if Base fails; approve outright only if Downside also passes; otherwise approve with a demand checkpoint",User-provided assumption,Microchip does not report a WACC; 8-11% is a common semiconductor range,Claude (delegated by user),Final
A-032,Capex project,Scenario FPGA demand growth after FY2027,2% / 6% / 10% per year (Downside / Base / Upside),Simulated operational data,Project is judged over FY2028-FY2033 (Years 1-6),Claude (delegated by user),Final
A-033,Capex project,Break-even utilization definition,Average share of the ADDED test capacity that must be sold for NPV = 0 (NPV is linear in incremental units),User-provided assumption,0% would mean yield and savings alone repay the investment,Claude (delegated by user),Final
A-034,Dashboard data,Full-year outlook,Outlook = simulated actuals Apr-Aug + active-scenario forecast Sep-Mar; forecast months are not re-based on actual Aug inventory,User-provided assumption,Keeps one forecast engine; the simplification is labeled in the export metadata,Claude (delegated by user),Final
A-035,Dashboard data,Export method,export_dashboard_data.py switches the single selector to each scenario, recalculates, reads Dash_Export and writes dashboard/data.json; scenario-independent tables (budget, actuals, variance, capex, history) must be identical across the three runs,User-provided assumption,Excel remains the single source of truth,Claude (delegated by user),Final
A-036,Dashboard,Dashboard design and data rule,"Self-contained web page (dashboard/index.html) with data embedded at build; pages: Executive overview, Semiconductor operations, Budget vs actual, Scenario planning, Capital allocation, Validation. The page performs no financial logic beyond summing exported records; headline totals are recomputed from records and checked against Excel control totals",User-provided assumption,User asked for a custom dashboard instead of Power BI,Claude (delegated by user),Final
A-037,Dashboard,Risk bins on the demand/capacity heat map,OK < 0.85; TIGHT 0.85-1.00; SHORT >= 1.00 (demand / good-unit capacity at full load),User-provided assumption,Test-floor vocabulary; thresholds adjustable in dashboard/template.html (binOf),Claude (delegated by user),Final
